pH,x1,x2,y
4.41,1.504023175,0.45247385,1.605
4.89,1.60169994,0.875003042,0.975
4.12,1.075584985,0.582162775,1.57
3.92,0.342092405,0.2430769,1.65
5.07,3.189470295,0.47512,0.685
5.07,3.175415075,0.500591183,0.855
4.97,2.88415787,0.678414858,0.88
4.55,2.23905761,0.648361408,1
4.64,2.821667425,1.233862817,0.985
4.65,2.11845919,0.288157017,0.91
5.43,4.541009645,0.773569208,0.475
4.66,2.514021865,0.573204283,1.18
4.89,3.476476525,0.546021583,0.995
4.84,2.894726815,0.53002205,0.8
5.6,3.655128015,1.298060725,0.415
5.52,2.910158185,1.132375583,0.615
5,2.103116825,1.316773708,0.86
5.41,3.24985499,0.819265383,0.58
4.86,1.553603565,0.424708767,0.905
4.86,3.150590945,0.723949742,0.645
4.51,7.224118825,1.729455117,1.15
4.52,7.596900265,2.194279442,0.95
4.65,3.560527125,0.57155165,0.82
4.94,2.246700075,0.573249917,0.59
3.96,2.21900481,0.49603845,1.09
4.65,2.79192098,0.762368167,0.695
4.69,3.833530165,0.671894925,0.92
4.22,1.70777274,0.446774217,0.825
4.05,1.997259765,0.644364875,0.96
4.33,4.40914948,0.789380233,1.345
5.36,5.626307215,1.6586253,0.42
5.59,3.961818535,0.698325033,0.39
4.79,2.913546245,0.519639858,0.78
5.79,3.87424388,0.418982233,0.275
4.23,2.058405435,0.469061275,0.97
5.52,4.137478125,0.4471571,0.38
5.45,3.738728505,0.5623652,0.4
5.85,4.51700301,0.693715675,0.29
5.02,2.849091375,0.55649555,0.73
5.43,3.58510885,0.370781475,0.38
5.78,6.922313925,0.703535075,0.285
5.67,3.25470214,0.329812342,0.31
5.5,3.798034335,0.446108583,0.275
5.24,1.33375328,0.373143075,0.455
5.97,3.11721781,0.622566275,0.215
4.81,5.09021666,0.485538008,0.61
3.78,1.20249174,0.188500892,1
4.25,0.77927338,0.118508258,0.57
5.5,7.349009215,1.838157833,0.395
5.87,3.868112185,0.882115508,0.24
5.95,4.09398013,1.0741073,0.245
5.71,4.75265784,1.642682425,0.365
5.59,4.0400994,2.578753467,0.43
5.49,10.48655877,7.499295642,0.575
4.54,5.99400483,1.406073292,1.135
4.8,7.66889998,1.45392375,1.31
4.53,4.79178531,0.8310049,1.4
5.2,8.26439538,2.43637775,0.74
4.9,7.76622203,1.557828533,1.11
4.31,5.131199365,1.027020483,1.815
4.29,3.673558425,0.970245783,1.8
4.11,3.729584315,1.64474035,1.785
4.28,4.227734275,0.779301067,1.805
5.09,6.253111705,1.257210058,0.7
4.88,5.59887085,1.41595595,0.9
5.02,5.379911505,1.564416008,0.735
5.39,5.73478611,1.716616808,0.415
5.33,4.93087579,1.396086867,0.45
5.15,6.52270954,1.520189792,0.79
3.96,1.868313695,0.466830892,1.21
4.76,2.472700575,0.683672042,0.51
4.06,1.273957365,0.32087125,0.57
4.55,1.86931339,0.484732158,0.555
4.72,2.32396145,0.991931167,0.645
4.36,1.390824135,0.347640725,0.71
3.96,0.794307715,0.216102308,0.48
4.57,2.67199883,0.850560308,0.79
4.02,1.32179307,0.786946933,1
4.14,2.390241985,0.946536225,1.08
4.15,1.76458063,1.083569267,0.88
4.63,1.176712005,0.231285225,0.4
4.72,1.06239482,0.184079558,0.225
5.65,2.541012235,0.325793033,0.27
5.01,1.47069255,0.257661442,0.28
5.18,2.304325305,0.856110625,0.405
5.07,2.196249675,1.170839317,0.5
5.14,2.591990355,0.4270304,0.41
4.76,1.592057055,0.404572325,0.405
4.84,8.650568195,2.433084,0.91
5.04,9.83779787,3.402280517,0.905
5.09,3.39806371,1.274907642,0.57
4.2,1.44406091,0.578686258,0.97
4.7,1.5450535,0.479516075,0.48
3.93,0.94739311,0.295492433,0.89
3.88,1.216582345,0.252108792,0.945
4.19,1.15556277,0.380989858,0.655
3.81,0.996214045,0.290606083,1.145
4.66,1.893557445,0.626347842,0.59
5.22,2.9499982,1.289602875,0.48
5.39,2.70302273,1.152427025,0.38
5.43,14.32647729,2.503983917,0.635
4.97,3.467536035,1.226162525,0.635
5.29,3.508469445,1.398627883,0.54
5.87,2.11977718,0.78701235,0.24
5.85,16.78690567,3.721376025,0.4
5.26,13.3967267,3.908843417,0.62
5.14,5.47257602,1.547144083,0.79
5.48,6.31888104,1.3123081,0.56
5.18,3.8384343,1.234906158,0.82
3.43,0.704771865,0.123962983,1.95
3.59,0.784696985,0.158341575,1.38
3.8,0.85575533,0.264216392,1.01
5.26,2.374168075,0.8325666,0.34
3.84,1.310964925,0.330473783,1.11
3.89,0.766412165,0.249896442,0.52
5.69,3.315478215,1.045368917,0.375
5.96,10.16429921,3.839639975,0.345
4.64,4.44751612,1.688774667,0.72
5.28,4.413319465,1.691355708,0.47
5.05,4.850387915,1.482284308,0.665
5.05,5.070898185,1.867947567,0.715
5.11,7.258719055,3.395435167,0.595
5.28,6.06164796,1.75158875,0.54
4.71,4.90583793,1.742170117,1
4.94,6.84519251,1.691630108,0.655
4.66,4.713287315,1.030182258,0.87
4.51,4.470180865,1.185131067,1.155
5.29,7.912151215,2.320229,0.445
5.02,7.90617442,2.605356158,0.77
4.61,4.50597545,1.2221174,1.105
4.61,4.76174881,1.430383158,1
4.4,4.566728495,1.517222317,1.295
5.95,3.880045315,1.033873942,0.29
5.65,2.10733988,0.496224375,0.32
5.95,3.278366465,0.8626519,0.27
4.17,2.24868879,0.451706617,0.945
4.52,1.56068603,0.667015425,0.745
4.22,1.018344385,0.313773242,0.76
4.41,1.070783905,0.274039617,0.5
4.35,0.810812895,0.328159925,0.65
4.33,0.82108141,0.339523592,0.555
4.03,1.440117115,0.56529905,1.15
4.96,1.707289555,0.6095449,0.475
5.05,4.07702095,1.501295575,0.81
4.88,3.179873465,1.180515892,0.85
4.61,3.125227005,1.155932833,1.13
4.4,1.98080906,0.807334708,1.165
4.33,2.377262815,0.944863867,1.33
4.95,5.19210821,1.680805083,0.91
4.57,3.224812645,1.171885075,1.105
5.48,1.54576887,0.241299075,0.285
5.49,1.154203265,0.25421515,0.22
5.86,4.670704195,1.274200125,0.25
5.4,5.2043541,1.440433092,0.475
5.49,2.58486809,0.688341808,0.3
5.77,3.377192775,0.501489575,0.28
5.68,1.68643122,0.223124233,0.18
5.5,1.36086543,0.319259092,0.23
4.96,1.863332415,0.5206367,0.525
5.03,2.032511235,0.518881067,0.465
5.97,2.37859949,0.302153608,0.2
5.77,3.01649137,0.862746858,0.31
5.51,3.662784085,1.639802567,0.415
5.59,2.78774887,0.413560975,0.315
5.01,1.977232145,0.549225417,0.475
5.08,1.94458574,0.4003343,0.41
5.55,2.1008211,0.413680042,0.29
5.71,3.423831825,0.830018983,0.32
5.96,2.198525975,0.225924925,0.225
5.77,2.31190966,0.347933025,0.25
4.52,3.019686665,1.767906667,0.87
5.3,1.938648255,1.407361283,0.36
5.66,4.10378456,0.968323342,0.34
5.79,2.31303143,0.346616308,0.26
5.5,1.94197374,0.664844175,0.29
4.78,1.27196528,0.248191042,0.38
5.31,5.43478072,4.2896097,0.43
5.96,3.014410015,0.4057673,0.19
5.96,2.419338215,0.49586815,0.22
4.82,2.13582686,0.922880867,0.565
5.59,1.49684903,0.679632225,0.22
4.87,1.559641105,0.25717,0.335
5.25,1.64437905,0.795926067,0.32
5.67,1.7382341,0.371221433,0.25
5.77,2.28278559,0.337312067,0.26
5.86,4.94503968,0.937091917,0.31
5.5,4.50440537,1.131588475,0.38
5.68,0.994708555,0.111739208,0.165
5.11,1.58109902,0.356886725,0.35
4.94,5.086165,1.365541675,0.77
5.4,3.116843345,0.695421642,0.505
5.03,2.367446635,0.4995029,0.515
5.88,2.887527415,0.427347433,0.26
4.87,1.82499607,0.560050942,0.58
5.31,3.54051459,0.951153258,0.51
5.68,4.346846135,0.942087417,0.355
5.38,2.154040805,0.469259458,0.31
5.67,2.183403745,0.21973925,0.26
5.5,3.67390869,1.022324308,0.435
5.1,1.14053865,0.260818858,0.255
5.11,3.566956045,0.864113875,0.66
5.56,3.547250595,1.00830525,0.43
5.7,2.21698845,0.381193333,0.305
4.5,1.220531475,0.501143133,0.765
4.91,2.083515455,0.687193808,0.62
5.28,2.03170566,0.485827392,0.435
5.51,3.31962268,0.81440335,0.405
5.48,1.96329491,0.474157925,0.39
5.5,2.64035385,0.475084742,0.47
5.44,2.41810583,0.639977417,0.495
5.74,1.990317765,0.3191381,0.305
5.8,1.761348745,0.322527917,0.3
5.38,2.51462162,0.605201192,0.49
5.99,1.95649237,0.355403442,0.23
5.78,3.071485645,0.603437325,0.39
5.72,1.924803595,0.537470467,0.37
4.55,0.85644472,0.224100583,0.615
5.91,2.407892815,0.354360492,0.28
5.8,2.039009725,0.334013042,0.31
5.13,1.874931445,0.39196115,0.455
5.76,3.00991862,0.5957736,0.365
5.14,1.779391855,0.48544675,0.465
3.73,1.60905571,0.287536792,0.94
5.8,2.07592443,0.441960858,0.25
5.69,1.621187595,0.392735075,0.29
5.68,2.17270227,0.381343117,0.3
5.8,3.60944973,1.128885508,0.315
5.67,1.62626332,0.29013455,0.285
5.75,2.01138621,0.404374733,0.335
5.18,1.7940951,0.187328433,0.395
5.71,1.802494025,0.39386395,0.28
5.67,2.12176284,0.498264608,0.31
5.61,1.870992,0.3935675,0.385
5.8,2.347370285,0.359153483,0.275
3.65,1.638518465,0.620984433,4.66
3.93,0.77380949,0.332893917,2.945
3.98,2.39944742,0.630474308,1.74
